#METABOLOMICS WORKBENCH Jinmei_20170812_050650 DATATRACK_ID:1217 STUDY_ID:ST000875 ANALYSIS_ID:AN001828 PROJECT_ID:PR000606
VERSION             	1
SUBJECT_SAMPLE_FACTORS_57          	Strain:1K00607 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_58          	Strain:1K00607 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_59          	Strain:1K00607 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_60          	Strain:1K00607 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_61          	Strain:1K00610 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_62          	Strain:1K00610 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_63          	Strain:1K00610 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_64          	Strain:1K00610 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_65          	Strain:1K00610 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_66          	Strain:1K00610 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_67          	Strain:1A10663 | Strain source:Terrestrial | Medium:A3	
SUBJECT_SAMPLE_FACTORS_68          	Strain:1A10663 | Strain source:Terrestrial | Medium:A3	
SUBJECT_SAMPLE_FACTORS_69          	Strain:1A10663 | Strain source:Terrestrial | Medium:A3	
SUBJECT_SAMPLE_FACTORS_70          	Strain:1A10663 | Strain source:Terrestrial | Medium:A3	
SUBJECT_SAMPLE_FACTORS_71          	Strain:1A10663 | Strain source:Terrestrial | Medium:A3	
SUBJECT_SAMPLE_FACTORS_72          	Strain:1A10663 | Strain source:Terrestrial | Medium:A3	
#COLLECTION
CO:COLLECTION_SUMMARY            	The broth cultures (50 mL) were harvested via centrifugation at 7000 g for 10 min under 4 °C. The pellet was quenched using 10 mL of 60% cold methanol (−80 °C) containing 0.85% (wt./vol.) of NaCl for 30 min. The quenched cell pellets were re-suspended in 10 mL of cold PBS and were washed for 3 times.
CO:SAMPLE_TYPE                   	Cultured cells
#TREATMENT
TR:TREATMENT_SUMMARY             	For each cell pellet sample, 5 mL of the mixture of methanol/water (1:0.9, v/v) was added and ultrasonicated for 25 min to break cells bathing in ice. The mixture was added with 5 mL of cold chloroform, vortexed and subjected to 10 min of ultrasonic extraction under the bath of ice. The mixture was then centrifuged at 9500 g for 8 min. The upper layer phase containing methanol and water was taken out and evaporated in the fume cupboard to remove methanol. The remaining water solution was freezed under −80 °C, and then freeze-dried to afford dry samples, which were stored under −80 °C before analysis.
#SAMPLEPREP
SP:SAMPLEPREP_SUMMARY            	The intracellular extract was re-suspended in 550 µL of phosphate buffer containing 1.5 M KH2PO4, 0.1% sodium 3-(trimethylsilyl) propionate-2,2,3,3-d4 (TSP), and 10% D2O. Subsequently, all the samples were vortexed and centrifuged at 12000 g for 15 min at 4°C to remove any insoluble components. The collected supernatants (500 μL) were transferred to 5 mm NMR tubes for analysis.
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_TYPE           	-
CH:INSTRUMENT_NAME               	-
CH:COLUMN_NAME                   	-
#ANALYSIS
AN:ANALYSIS_TYPE                 	NMR
#NMR
NM:INSTRUMENT_NAME               	Bruker Avance III 850 MHz spectrometer
NM:INSTRUMENT_TYPE               	FT-NMR
NM:NMR_EXPERIMENT_TYPE           	1D-1H
NM:SPECTROMETER_FREQUENCY        	850 MHz
NM:NMR_RESULTS_FILE              	ST000875_AN001828_Results.txt	UNITS:ppm
#END
